 	Label	Area
119	overlap_Sample_8_&_Sample_15.bmp	113241
120	overlap_Sample_8_&_Sample_16.bmp	114691
121	overlap_Sample_8_&_Sample_17.bmp	114543
122	overlap_Sample_8_&_Sample_18.bmp	114856
123	overlap_Sample_8_&_Sample_19.bmp	115370
124	overlap_Sample_8_&_Sample_20.bmp	117521
125	overlap_Sample_9_&_Sample_10.bmp	115289
126	overlap_Sample_9_&_Sample_11.bmp	115193
127	overlap_Sample_9_&_Sample_12.bmp	115440
128	overlap_Sample_9_&_Sample_13.bmp	114795
129	overlap_Sample_9_&_Sample_14.bmp	114396
130	overlap_Sample_9_&_Sample_15.bmp	113782
131	overlap_Sample_9_&_Sample_16.bmp	114910
132	overlap_Sample_9_&_Sample_17.bmp	115072
133	overlap_Sample_9_&_Sample_18.bmp	114901
134	overlap_Sample_9_&_Sample_19.bmp	116362
135	overlap_Sample_9_&_Sample_20.bmp	118769
136	overlap_Sample_10_&_Sample_11.bmp	114848
137	overlap_Sample_10_&_Sample_12.bmp	115087
138	overlap_Sample_10_&_Sample_13.bmp	114847
139	overlap_Sample_10_&_Sample_14.bmp	113635
140	overlap_Sample_10_&_Sample_15.bmp	113381
141	overlap_Sample_10_&_Sample_16.bmp	114746
142	overlap_Sample_10_&_Sample_17.bmp	114851
143	overlap_Sample_10_&_Sample_18.bmp	114561
144	overlap_Sample_10_&_Sample_19.bmp	116193
145	overlap_Sample_10_&_Sample_20.bmp	118401
146	overlap_Sample_11_&_Sample_12.bmp	115035
147	overlap_Sample_11_&_Sample_13.bmp	114685
148	overlap_Sample_11_&_Sample_14.bmp	113831
149	overlap_Sample_11_&_Sample_15.bmp	113715
150	overlap_Sample_11_&_Sample_16.bmp	114061
151	overlap_Sample_11_&_Sample_17.bmp	114472
152	overlap_Sample_11_&_Sample_18.bmp	114480
153	overlap_Sample_11_&_Sample_19.bmp	116331
154	overlap_Sample_11_&_Sample_20.bmp	118339
155	overlap_Sample_12_&_Sample_13.bmp	114463
156	overlap_Sample_12_&_Sample_14.bmp	113991
157	overlap_Sample_12_&_Sample_15.bmp	113933
158	overlap_Sample_12_&_Sample_16.bmp	114669
159	overlap_Sample_12_&_Sample_17.bmp	115011
160	overlap_Sample_12_&_Sample_18.bmp	114501
161	overlap_Sample_12_&_Sample_19.bmp	116140
162	overlap_Sample_12_&_Sample_20.bmp	118567
163	overlap_Sample_13_&_Sample_14.bmp	113246
164	overlap_Sample_13_&_Sample_15.bmp	112487
165	overlap_Sample_13_&_Sample_16.bmp	113607
166	overlap_Sample_13_&_Sample_17.bmp	114015
167	overlap_Sample_13_&_Sample_18.bmp	113528
168	overlap_Sample_13_&_Sample_19.bmp	115395
169	overlap_Sample_13_&_Sample_20.bmp	117843
170	overlap_Sample_14_&_Sample_15.bmp	111732
171	overlap_Sample_14_&_Sample_16.bmp	112321
172	overlap_Sample_14_&_Sample_17.bmp	113392
173	overlap_Sample_14_&_Sample_18.bmp	112689
174	overlap_Sample_14_&_Sample_19.bmp	115275
175	overlap_Sample_14_&_Sample_20.bmp	117552
176	overlap_Sample_15_&_Sample_16.bmp	112812
177	overlap_Sample_15_&_Sample_17.bmp	113500
178	overlap_Sample_15_&_Sample_18.bmp	112773
179	overlap_Sample_15_&_Sample_19.bmp	114498
180	overlap_Sample_15_&_Sample_20.bmp	116949
181	overlap_Sample_16_&_Sample_17.bmp	113544
182	overlap_Sample_16_&_Sample_18.bmp	113618
183	overlap_Sample_16_&_Sample_19.bmp	115698
184	overlap_Sample_16_&_Sample_20.bmp	118092
185	overlap_Sample_17_&_Sample_18.bmp	113393
186	overlap_Sample_17_&_Sample_19.bmp	115422
187	overlap_Sample_17_&_Sample_20.bmp	118392
188	overlap_Sample_18_&_Sample_19.bmp	115714
189	overlap_Sample_18_&_Sample_20.bmp	117135
190	overlap_Sample_19_&_Sample_20.bmp	118012
